row	awma_stream_sm_raw
P34_0_0_STREAM	sid=18 cta_assignments=6 distinct_cta_slots=2 global_accesses=20797 local_accesses=7272 param_local_accesses=0 cta_logical_sequence=10,45,135,161,186,206
P34_0_0_STREAM	sid=19 cta_assignments=5 distinct_cta_slots=2 global_accesses=15910 local_accesses=5720 param_local_accesses=0 cta_logical_sequence=11,46,145,167,170
P34_0_0_STREAM	sid=20 cta_assignments=4 distinct_cta_slots=2 global_accesses=14041 local_accesses=5248 param_local_accesses=0 cta_logical_sequence=12,47,152,181
P34_0_0_STREAM	sid=21 cta_assignments=5 distinct_cta_slots=2 global_accesses=15752 local_accesses=5736 param_local_accesses=0 cta_logical_sequence=13,48,73,139,154
P34_0_0_STREAM	sid=22 cta_assignments=6 distinct_cta_slots=2 global_accesses=17973 local_accesses=6552 param_local_accesses=0 cta_logical_sequence=14,49,79,165,196,218
P34_0_0_STREAM	sid=23 cta_assignments=6 distinct_cta_slots=2 global_accesses=16624 local_accesses=6328 param_local_accesses=0 cta_logical_sequence=15,50,80,91,171,184
P34_0_0_STREAM	sid=24 cta_assignments=7 distinct_cta_slots=2 global_accesses=18671 local_accesses=6440 param_local_accesses=0 cta_logical_sequence=16,51,71,87,122,141,215
P34_0_0_STREAM	sid=25 cta_assignments=6 distinct_cta_slots=2 global_accesses=17823 local_accesses=6432 param_local_accesses=0 cta_logical_sequence=17,52,76,90,169,172
P34_0_0_STREAM	sid=26 cta_assignments=7 distinct_cta_slots=2 global_accesses=16979 local_accesses=5944 param_local_accesses=0 cta_logical_sequence=18,53,82,97,101,109,143
P34_0_0_STREAM	sid=27 cta_assignments=7 distinct_cta_slots=2 global_accesses=21886 local_accesses=7744 param_local_accesses=0 cta_logical_sequence=19,54,89,103,164,174,207
P34_0_0_STREAM	sid=28 cta_assignments=5 distinct_cta_slots=2 global_accesses=15576 local_accesses=5840 param_local_accesses=0 cta_logical_sequence=20,55,94,110,213
P34_0_0_STREAM	sid=29 cta_assignments=7 distinct_cta_slots=2 global_accesses=19549 local_accesses=6680 param_local_accesses=0 cta_logical_sequence=21,56,102,116,155,160,175
P34_0_0_STREAM	sid=30 cta_assignments=7 distinct_cta_slots=2 global_accesses=20457 local_accesses=7024 param_local_accesses=0 cta_logical_sequence=22,57,106,123,193,209,222
P34_0_0_STREAM	sid=31 cta_assignments=9 distinct_cta_slots=2 global_accesses=21503 local_accesses=7128 param_local_accesses=0 cta_logical_sequence=23,58,113,131,132,166,179,210,223
P34_0_0_STREAM	sid=32 cta_assignments=6 distinct_cta_slots=2 global_accesses=18829 local_accesses=6448 param_local_accesses=0 cta_logical_sequence=24,59,119,140,192,202
P34_0_0_STREAM	sid=33 cta_assignments=6 distinct_cta_slots=2 global_accesses=18372 local_accesses=6568 param_local_accesses=0 cta_logical_sequence=25,60,128,138,149,205
P34_0_0_STREAM	sid=34 cta_assignments=5 distinct_cta_slots=2 global_accesses=17755 local_accesses=6320 param_local_accesses=0 cta_logical_sequence=26,61,134,156,199
P8_10_80_STREAM_CONTROL	sid=0 cta_assignments=6 distinct_cta_slots=2 global_accesses=13950 local_accesses=5728 param_local_accesses=0 cta_logical_sequence=13,48,73,134,153,197
