set_name	run_index	decode_index	control_decode_ms	fair_decode_ms	selected_control_sum_ms	selected_target_share	summed_local_saving_ms	observed_decode_saving_ms	realization_ratio	nonselected_up_proj_effect_ms
N14A	1	3	13.708288192749023	13.594623565673828	1.1399359703063965	0.08315669719501256	0.28841596469283104	0.11366462707519531	0.3940996372938318	-0.26044797897338867
N14A	2	1	13.699071884155273	13.611007690429688	1.1396799683570862	0.08319395488940179	0.27939198166131973	0.08806419372558594	0.31519943128624844	-0.2572479769587517
N14A	2	2	13.698047637939453	13.607935905456543	1.1399359703063965	0.0832188645007423	0.28387197852134705	0.09011173248291016	0.3174379273089605	-0.25491198152303696
N14A	2	3	13.704192161560059	13.623552322387695	1.14387197047472	0.08346876320687142	0.28598397970199585	0.08063983917236328	0.2819732743645028	-0.25491198152303696
N14A	3	1	13.69702434539795	13.586432456970215	1.140447974205017	0.08326246237477085	0.286175973713398	0.11059188842773438	0.38644714646272477	-0.2540479823946953
N14A	3	2	13.699071884155273	13.58950424194336	1.139487974345684	0.08317993977852232	0.2836799807846546	0.10956764221191406	0.3862367795882233	-0.25683198124170303
N14A	3	3	13.69702434539795	13.593855857849121	1.1407359689474106	0.08328348845570135	0.28358397632837296	0.10316848754882812	0.3638022461091571	-0.2617279775440693
N14A	4	1	13.705216407775879	13.595647811889648	1.1431359723210335	0.08340882320343782	0.2850239835679531	0.10956859588623047	0.3844188636852309	-0.2566079795360565
N14A	4	2	13.709312438964844	13.590527534484863	1.1406079679727554	0.08319950202104227	0.2861439622938633	0.11878490447998047	0.41512287565931966	-0.25759997963905334
N14A	4	3	13.706239700317383	13.600768089294434	1.1401279717683792	0.08318313386435072	0.2867199704051018	0.10547161102294922	0.36785582418249474	-0.2680319845676422
N14A	5	1	13.693951606750488	13.594623565673828	1.1376639679074287	0.08307784345802804	0.28153597190976143	0.09932804107666016	0.3528076373433979	-0.25945598632097244
N14A	5	2	13.686783790588379	13.588800430297852	1.1376639679074287	0.08312135161291402	0.2805759757757187	0.09798336029052734	0.34922220271934956	-0.2587519884109497
N14A	5	3	13.689920425415039	13.594047546386719	1.141727976500988	0.0833991682217082	0.2826239839196205	0.09587287902832031	0.339224144032967	-0.2603839784860611
N14A	6	1	13.693951606750488	13.58233642578125	1.1386559680104256	0.08315028420643174	0.2819199711084366	0.11161518096923828	0.39591086977767553	-0.25548797845840454
N14A	6	2	13.700096130371094	13.596672058105469	1.1386879682540894	0.083115326886633	0.2795519754290581	0.103424072265625	0.36996366098607997	-0.2574079781770706
N14A	6	3	13.699071884155273	13.601792335510254	1.1417599692940712	0.0833457900614904	0.28364798054099083	0.09727954864501953	0.34295872108619285	-0.26207999140024185
