pattern	point	mode	repetition	step	active_bytes	selected_experts	step_ms	point_id	allocated_bytes	migration_count	migration_bytes	migration_time_ns	gpu_fault_events
D2	MILD_OVERSUB	M0	repeat	1	2348810240		222.832	D2_MILD_OVERSUB_M0	18790481920	56198	2348810240	155062965	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	2	3523215360		234.99	D2_MILD_OVERSUB_M0	18790481920	62432	2348810240	162059157	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	3	4697620480		221.513	D2_MILD_OVERSUB_M0	18790481920	52004	2348810240	150482324	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	4	5872025600		227.869	D2_MILD_OVERSUB_M0	18790481920	56506	2348810240	155494245	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	5	7046430720		218.498	D2_MILD_OVERSUB_M0	18790481920	47734	2348810240	145842042	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	6	8220835840		225.368	D2_MILD_OVERSUB_M0	18790481920	52412	2348810240	150972483	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	7	9395240960		257.441	D2_MILD_OVERSUB_M0	18790481920	74396	2348810240	175499704	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	8	10569646080		228.075	D2_MILD_OVERSUB_M0	18790481920	51218	2348810240	149584973	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	9	11744051200		229.333	D2_MILD_OVERSUB_M0	18790481920	50150	2348810240	148442557	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	10	12918456320		226.762	D2_MILD_OVERSUB_M0	18790481920	47554	2348810240	145330820	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	11	14092861440		214.364	D2_MILD_OVERSUB_M0	18790481920	34160	2348810240	130873603	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	12	15267266560		258.202	D2_MILD_OVERSUB_M0	18790481920	70120	2348810240	170615173	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	13	16441671680		236.156	D2_MILD_OVERSUB_M0	18790481920	48245	2348941312	146547557	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	14	17616076800		3145.55	D2_MILD_OVERSUB_M0	18790481920	354912	35232284672	1789143252	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	15	18790481920		3348.24	D2_MILD_OVERSUB_M0	18790481920	377932	37581094912	1907704682	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	0	1174405120		53.9151	D2_MILD_OVERSUB_M1	18790481920	562	1174470656	49736557	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	1	2348810240		55.195	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49752206	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	2	3523215360		56.7946	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49706989	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	3	4697620480		58.5515	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49657996	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	4	5872025600		60.5241	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49695340	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	5	7046430720		62.3626	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49714091	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	6	8220835840		64.1021	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49703357	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	7	9395240960		66.0088	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49691267	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	8	10569646080		67.8077	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49744838	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	9	11744051200		69.5844	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49684423	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	10	12918456320		71.4581	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49739173	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	11	14092861440		73.3078	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49712039	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	12	15267266560		75.0878	D2_MILD_OVERSUB_M1	18790481920	560	1174405120	49765607	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	13	16441671680		2972.63	D2_MILD_OVERSUB_M1	18790481920	331487	34112405504	1724583245	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	14	17616076800		3234.12	D2_MILD_OVERSUB_M1	18790481920	355356	37581094912	1883468763	UNAVAILABLE
D2	MILD_OVERSUB	M1	cold	15	18790481920		3439.14	D2_MILD_OVERSUB_M1	18790481920	379045	39929905152	2003342192	UNAVAILABLE
D2	MILD_OVERSUB	M1	repeat	0	1174405120		105.159	D2_MILD_OVERSUB_M1	18790481920	1120	2348810240	95740692	UNAVAILABLE
D2	MILD_OVERSUB	M1	repeat	1	2348810240		107.272	D2_MILD_OVERSUB_M1	18790481920	1120	2348810240	95271603	UNAVAILABLE
D2	MILD_OVERSUB	M1	repeat	2	3523215360		108.571	D2_MILD_OVERSUB_M1	18790481920	1120	2348810240	94932048	UNAVAILABLE
D2	MILD_OVERSUB	M1	repeat	3	4697620480		110.318	D2_MILD_OVERSUB_M1	18790481920	1120	2348810240	94897868	UNAVAILABLE
D2	MILD_OVERSUB	M1	repeat	4	5872025600		112.16	D2_MILD_OVERSUB_M1	18790481920	1120	2348810240	94982509	UNAVAILABLE
