phase	decode_step	layer	input_shape	output_shape	output_sha	weight_bytes	kv_key_shape	kv_key_bytes	kv_value_shape	kv_value_bytes
PREFILL		26	[1, 2048, 2048]	[1, 2048, 2048]	1101e91e61145b3e7441f113e98377bf03295a9d52419b6874c73317a5533170	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		27	[1, 2048, 2048]	[1, 2048, 2048]	d962fac71dc676ce711c636cfaeaec0b313b40c12168ce6ac12743e33396a19c	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		28	[1, 2048, 2048]	[1, 2048, 2048]	d6077d9c0df8a0548ae5c5d08913a520664a1b8d82e85bc54343be931e6644a5	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		29	[1, 2048, 2048]	[1, 2048, 2048]	11842ee9d4b04b44e0fcd60ea4492039e8627e544e119aeeb0fd07d7a75c8890	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		30	[1, 2048, 2048]	[1, 2048, 2048]	22d578364aaafdd7e67a985d1fc99d6973ef21530103fb063b8c4968fb1135fe	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		31	[1, 2048, 2048]	[1, 2048, 2048]	8ac56cc732a024eab8a2987d4efcbbda59cf947721e859284437b2335edbfd08	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		32	[1, 2048, 2048]	[1, 2048, 2048]	c9700236386a3294ee4611ac143a61bfa4b9b9aa7c8b61e9df60888c210a81f0	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		33	[1, 2048, 2048]	[1, 2048, 2048]	64f4bf8feaa23c795ad9a4d3a2183e759e5c384feb605072552a1b43b2da9ae9	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		34	[1, 2048, 2048]	[1, 2048, 2048]	f2010a19358e8783771aca27d928f11aeb55f5fb28f274a0e071bdc13e9b7517	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		35	[1, 2048, 2048]	[1, 2048, 2048]	f892d1654172fd9eea98927b96a124a44f9ec8ef242075a212d8fd3796f00830	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		36	[1, 2048, 2048]	[1, 2048, 2048]	438ac88dbb5e013859f9795ab4cfc1d772187ab8e819ed9aa4623956af562461	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
