roi	profile	object_class	metric	value	provenance
decode1	generic	WEIGHT	pte_memory_wait_cycles_max	2839	simulator_runtime_counter
decode1	generic	WEIGHT	pte_memory_wait_cycles_total	4735899	simulator_runtime_counter
decode1	generic	WEIGHT	pte_requests	15534	simulator_runtime_counter
decode1	generic	WEIGHT	pwc_accesses	46332	simulator_runtime_counter
decode1	generic	WEIGHT	pwc_hits	46242	simulator_runtime_counter
decode1	generic	WEIGHT	pwc_misses	90	simulator_runtime_counter
decode1	generic	WEIGHT	requester_latency_cycles_max	2937	simulator_runtime_counter
decode1	generic	WEIGHT	requester_latency_cycles_total	90228076	simulator_runtime_counter
decode1	generic	WEIGHT	requester_mshr_wait_cycles_max	2842	simulator_runtime_counter
decode1	generic	WEIGHT	requester_mshr_wait_cycles_total	7793168	simulator_runtime_counter
decode1	generic	WEIGHT	translation_requesters	7942143	simulator_runtime_counter
decode1	generic	WEIGHT	unique_translation_keys	15443	simulator_runtime_counter
decode1	generic	WEIGHT	walk_starts	15444	simulator_runtime_counter
decode1	generic	WEIGHT	translation_requester_share	0.104715977529	derived_from_runtime_counters
decode1	generic	KV_CACHE	translation_requester_share	0.023328670071	derived_from_runtime_counters
decode1	generic	UNKNOWN	translation_requester_share	0.871955352400	derived_from_runtime_counters
decode1	paper	KV_CACHE	completed	1807845	simulator_runtime_counter
decode1	paper	KV_CACHE	l1_hits	1799575	simulator_runtime_counter
decode1	paper	KV_CACHE	l1_lookup_launches	1807845	simulator_runtime_counter
decode1	paper	KV_CACHE	l1_misses	8270	simulator_runtime_counter
decode1	paper	KV_CACHE	l2_fills	109	simulator_runtime_counter
decode1	paper	KV_CACHE	l2_hits	6300	simulator_runtime_counter
decode1	paper	KV_CACHE	l2_lookup_launches	8270	simulator_runtime_counter
decode1	paper	KV_CACHE	l2_misses	1970	simulator_runtime_counter
decode1	paper	KV_CACHE	mshr_allocations	111	simulator_runtime_counter
decode1	paper	KV_CACHE	mshr_merges	1859	simulator_runtime_counter
decode1	paper	KV_CACHE	pte_dram_responses	53	simulator_runtime_counter
decode1	paper	KV_CACHE	pte_l2_only_responses	59	simulator_runtime_counter
decode1	paper	KV_CACHE	pte_memory_wait_cycles_max	891	simulator_runtime_counter
decode1	paper	KV_CACHE	pte_memory_wait_cycles_total	37413	simulator_runtime_counter
decode1	paper	KV_CACHE	pte_requests	112	simulator_runtime_counter
decode1	paper	KV_CACHE	pwc_accesses	333	simulator_runtime_counter
decode1	paper	KV_CACHE	pwc_hits	332	simulator_runtime_counter
decode1	paper	KV_CACHE	pwc_misses	1	simulator_runtime_counter
decode1	paper	KV_CACHE	requester_latency_cycles_max	1053	simulator_runtime_counter
decode1	paper	KV_CACHE	requester_latency_cycles_total	19294935	simulator_runtime_counter
decode1	paper	KV_CACHE	requester_mshr_wait_cycles_max	963	simulator_runtime_counter
decode1	paper	KV_CACHE	requester_mshr_wait_cycles_total	539837	simulator_runtime_counter
decode1	paper	KV_CACHE	translation_requesters	1807845	simulator_runtime_counter
decode1	paper	KV_CACHE	unique_translation_keys	82	simulator_runtime_counter
decode1	paper	KV_CACHE	walk_starts	111	simulator_runtime_counter
decode1	paper	UNKNOWN	completed	66133019	simulator_runtime_counter
decode1	paper	UNKNOWN	l1_hits	66112795	simulator_runtime_counter
decode1	paper	UNKNOWN	l1_lookup_launches	66133019	simulator_runtime_counter
decode1	paper	UNKNOWN	l1_misses	20224	simulator_runtime_counter
decode1	paper	UNKNOWN	l2_fills	139	simulator_runtime_counter
decode1	paper	UNKNOWN	l2_hits	18337	simulator_runtime_counter
decode1	paper	UNKNOWN	l2_lookup_launches	20224	simulator_runtime_counter
decode1	paper	UNKNOWN	l2_misses	1887	simulator_runtime_counter
decode1	paper	UNKNOWN	mshr_allocations	136	simulator_runtime_counter
decode1	paper	UNKNOWN	mshr_merges	1751	simulator_runtime_counter
decode1	paper	UNKNOWN	pte_dram_responses	82	simulator_runtime_counter
decode1	paper	UNKNOWN	pte_l2_only_responses	63	simulator_runtime_counter
decode1	paper	UNKNOWN	pte_memory_wait_cycles_max	5707	simulator_runtime_counter
decode1	paper	UNKNOWN	pte_memory_wait_cycles_total	108730	simulator_runtime_counter
decode1	paper	UNKNOWN	pte_requests	145	simulator_runtime_counter
decode1	paper	UNKNOWN	pwc_accesses	408	simulator_runtime_counter
decode1	paper	UNKNOWN	pwc_hits	399	simulator_runtime_counter
decode1	paper	UNKNOWN	pwc_misses	9	simulator_runtime_counter
decode1	paper	UNKNOWN	requester_latency_cycles_max	9089	simulator_runtime_counter
decode1	paper	UNKNOWN	requester_latency_cycles_total	663706853	simulator_runtime_counter
decode1	paper	UNKNOWN	requester_mshr_wait_cycles_max	8999	simulator_runtime_counter
decode1	paper	UNKNOWN	requester_mshr_wait_cycles_total	730849	simulator_runtime_counter
decode1	paper	UNKNOWN	translation_requesters	66133019	simulator_runtime_counter
decode1	paper	UNKNOWN	unique_translation_keys	89	simulator_runtime_counter
decode1	paper	UNKNOWN	walk_starts	136	simulator_runtime_counter
decode1	paper	WEIGHT	completed	8081479	simulator_runtime_counter
decode1	paper	WEIGHT	l1_hits	8052047	simulator_runtime_counter
decode1	paper	WEIGHT	l1_lookup_launches	8081479	simulator_runtime_counter
decode1	paper	WEIGHT	l1_misses	29432	simulator_runtime_counter
decode1	paper	WEIGHT	l2_fills	15443	simulator_runtime_counter
decode1	paper	WEIGHT	l2_hits	10881	simulator_runtime_counter
decode1	paper	WEIGHT	l2_lookup_launches	29432	simulator_runtime_counter
decode1	paper	WEIGHT	l2_misses	18551	simulator_runtime_counter
decode1	paper	WEIGHT	mshr_allocations	15444	simulator_runtime_counter
decode1	paper	WEIGHT	mshr_merges	3107	simulator_runtime_counter
decode1	paper	WEIGHT	pte_dram_responses	3965	simulator_runtime_counter
decode1	paper	WEIGHT	pte_l2_only_responses	11564	simulator_runtime_counter
decode1	paper	WEIGHT	pte_memory_wait_cycles_max	7210	simulator_runtime_counter
decode1	paper	WEIGHT	pte_memory_wait_cycles_total	6414047	simulator_runtime_counter
decode1	paper	WEIGHT	pte_requests	15529	simulator_runtime_counter
decode1	paper	WEIGHT	pwc_accesses	46332	simulator_runtime_counter
decode1	paper	WEIGHT	pwc_hits	46247	simulator_runtime_counter
decode1	paper	WEIGHT	pwc_misses	85	simulator_runtime_counter
decode1	paper	WEIGHT	requester_latency_cycles_max	10094	simulator_runtime_counter
decode1	paper	WEIGHT	requester_latency_cycles_total	91520056	simulator_runtime_counter
decode1	paper	WEIGHT	requester_mshr_wait_cycles_max	10004	simulator_runtime_counter
decode1	paper	WEIGHT	requester_mshr_wait_cycles_total	8281802	simulator_runtime_counter
decode1	paper	WEIGHT	translation_requesters	8081479	simulator_runtime_counter
decode1	paper	WEIGHT	unique_translation_keys	15443	simulator_runtime_counter
decode1	paper	WEIGHT	walk_starts	15444	simulator_runtime_counter
decode1	paper	WEIGHT	translation_requester_share	0.106303998023	derived_from_runtime_counters
decode1	paper	KV_CACHE	translation_requester_share	0.023780443073	derived_from_runtime_counters
decode1	paper	UNKNOWN	translation_requester_share	0.869915558904	derived_from_runtime_counters
prefill	disabled	WEIGHT	translation_requester_share	NA	derived_from_runtime_counters
prefill	disabled	KV_CACHE	translation_requester_share	NA	derived_from_runtime_counters
prefill	disabled	UNKNOWN	translation_requester_share	NA	derived_from_runtime_counters
prefill	ideal	WEIGHT	translation_requester_share	NA	derived_from_runtime_counters
prefill	ideal	KV_CACHE	translation_requester_share	NA	derived_from_runtime_counters
prefill	ideal	UNKNOWN	translation_requester_share	NA	derived_from_runtime_counters
prefill	generic	KV_CACHE	completed	2042159	simulator_runtime_counter
prefill	generic	KV_CACHE	l1_hits	2006395	simulator_runtime_counter
prefill	generic	KV_CACHE	l1_lookup_launches	2042159	simulator_runtime_counter
prefill	generic	KV_CACHE	l1_misses	35764	simulator_runtime_counter
prefill	generic	KV_CACHE	l2_fills	212	simulator_runtime_counter
prefill	generic	KV_CACHE	l2_hits	33413	simulator_runtime_counter
prefill	generic	KV_CACHE	l2_lookup_launches	35764	simulator_runtime_counter
prefill	generic	KV_CACHE	l2_misses	2351	simulator_runtime_counter
prefill	generic	KV_CACHE	mshr_allocations	212	simulator_runtime_counter
prefill	generic	KV_CACHE	mshr_merges	2139	simulator_runtime_counter
prefill	generic	KV_CACHE	pte_dram_responses	79	simulator_runtime_counter
