roi	profile	metric	value	provenance
prefill	paper	vm_translation_mshr_full_events	0	simulator_runtime_counter
prefill	paper	vm_translation_mshr_lifetime_cycles_max	5585	simulator_runtime_counter
prefill	paper	vm_translation_mshr_lifetime_cycles_total	8131553	simulator_runtime_counter
prefill	paper	vm_translation_mshr_merges	24847	simulator_runtime_counter
prefill	paper	vm_translation_mshr_occupancy_high_watermark	27	simulator_runtime_counter
prefill	paper	vm_translation_mshr_waiter_depth_max	35	simulator_runtime_counter
prefill	paper	vm_translation_mshr_waiter_depth_total	45844	simulator_runtime_counter
prefill	paper	vm_translation_page_size_bytes	65536	simulator_runtime_counter
prefill	paper	vm_translation_pending_waiter_bypasses	17799001	simulator_runtime_counter
prefill	paper	vm_translation_pwq_full_events	0	simulator_runtime_counter
prefill	paper	vm_translation_pwq_occupancy	0	simulator_runtime_counter
prefill	paper	vm_translation_requester_completions	94047308	simulator_runtime_counter
prefill	paper	vm_translation_requester_l1_queue_cycles_max	0	simulator_runtime_counter
prefill	paper	vm_translation_requester_l1_queue_cycles_total	0	simulator_runtime_counter
prefill	paper	vm_translation_requester_l1_service_cycles_max	10	simulator_runtime_counter
prefill	paper	vm_translation_requester_l1_service_cycles_total	940473080	simulator_runtime_counter
prefill	paper	vm_translation_requester_l2_queue_cycles_max	34	simulator_runtime_counter
prefill	paper	vm_translation_requester_l2_queue_cycles_total	220257	simulator_runtime_counter
prefill	paper	vm_translation_requester_l2_service_cycles_max	80	simulator_runtime_counter
prefill	paper	vm_translation_requester_l2_service_cycles_total	89717920	simulator_runtime_counter
prefill	paper	vm_translation_requester_latency_cycles_max	5675	simulator_runtime_counter
prefill	paper	vm_translation_requester_latency_cycles_total	1048210258	simulator_runtime_counter
prefill	paper	vm_translation_requester_mshr_wait_cycles_max	5585	simulator_runtime_counter
prefill	paper	vm_translation_requester_mshr_wait_cycles_total	17799001	simulator_runtime_counter
prefill	paper	vm_translation_stall_cycles	1048210258	simulator_runtime_counter
prefill	paper	vm_translation_waiter_registrations	45844	simulator_runtime_counter
prefill	paper	vm_translation_waiter_wakeups	45844	simulator_runtime_counter
prefill	paper	vm_translation_walk_completions	20997	simulator_runtime_counter
prefill	paper	vm_translation_walk_starts	20997	simulator_runtime_counter
prefill	paper	vm_translation_walkers_active	0	simulator_runtime_counter
