source,workload,variant,descriptor_capacity,window_records,descriptor_avg_min,descriptor_avg_p95,descriptor_avg_max,line_mshr_avg_min,line_mshr_avg_p95,line_mshr_avg_max,lowerq_avg_min,lowerq_avg_p95,lowerq_avg_max,bw_window_max,bw_window_p50,bw_window_p95,cell,descriptor_near_full_fraction,descriptor_window_max,descriptor_window_p50,descriptor_window_p95,dram_window_rows,l2_window_rows,line_mshr_window_max,line_mshr_window_p50,line_mshr_window_p95,lowerq_window_max,lowerq_window_p50,lowerq_window_p95,scheduler_active_window_fraction,scheduler_channel_max_over_mean,scheduler_window_max,scheduler_window_p50,scheduler_window_p95
D512_L1_PROMOTED,convolutionSeparable,,512,,,,,,,,,,,0.963505594,0.7178052775,0.898268975,D512-BANK-HR,0.0,319.0,41.0,302.0,1856,3712,127.0,14.0,125.0,128.0,0.0,128.0,0.5474137931034483,1.059962384948089,127.0,44.0,127.0
D512_L1_PROMOTED,btree,,512,,,,,,,,,,,0.312383489,0.144759642,0.256724368,BASE,0.0,32.0,9.0,20.0,800,1600,10.0,3.0,6.0,10.0,0.0,2.0,0.0,0,18.0,2.0,9.0
D512_L1_PROMOTED,btree,,512,,,,,,,,,,,0.300665779,0.156591212,0.246604527,D512-META-HR,0.0,43.0,9.0,21.0,768,1536,12.0,3.0,6.0,16.0,0.0,3.0,0.0,0,15.0,3.0,10.0
D512_L1_PROMOTED,btree,,512,,,,,,,,,,,0.300399467,0.15086551250000002,0.248202397,D512-BANK-HR,0.0,41.0,9.0,19.0,768,1536,12.0,3.0,6.0,16.0,0.0,2.0,0.0,0,13.0,3.0,9.0
D512_L1_PROMOTED,sad,,512,,,,,,,,,,,0.134256793,0.0,0.010652463,BASE,0.0,2.0,0.0,0.0,704,1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D512_L1_PROMOTED,sad,,512,,,,,,,,,,,0.010918775,0.0,0.002396804,D512-META-HR,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D512_L1_PROMOTED,sad,,512,,,,,,,,,,,0.010918775,0.0,0.005326232,D512-BANK-HR,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
D512_L1_PROMOTED,FWT_7_21,,512,,,,,,,,,,,0.91662227,0.0,0.83195739,BASE,0.0,298.0,0.0,202.0,3168,6336,92.0,0.0,58.0,128.0,0.0,86.0,0.20928030303030304,1.1076731789484295,127.0,0.0,110.0
D512_L1_PROMOTED,FWT_7_21,,512,,,,,,,,,,,0.986414491,0.0,0.830892144,D512-META-HR,0.0,297.0,0.0,236.0,3168,6336,86.0,0.0,66.0,128.0,0.0,114.0,0.2143308080808081,1.1399235300196342,127.0,0.0,118.0
D512_L1_PROMOTED,FWT_7_21,,512,,,,,,,,,,,0.934203516,0.0,0.831424767,D512-BANK-HR,0.0,299.0,0.0,193.0,3136,6272,88.0,0.0,58.0,128.0,0.0,80.0,0.20280612244897958,1.123263317310858,127.0,0.0,107.0
