metric	pre_q05_cumulative	post_q05_cumulative	target_delta
vm_weight_segment_lookup_latency_cycles	0	0	0
vm_weight_segment_lookup_launches	0	0	0
vm_weight_segment_mapping_mismatch_faults	0	0	0
vm_weight_segment_miss_join_wait_cycles	0	0	0
vm_weight_segment_misses	0	0	0
vm_weight_segment_mshr_suppressed	0	0	0
vm_weight_segment_port_denials	0	0	0
vm_weight_segment_provisioned_asid	0	0	0
vm_weight_segment_pte_suppressed	0	0	0
vm_weight_segment_pwc_suppressed	0	0	0
vm_weight_segment_pwq_suppressed	0	0	0
vm_weight_segment_raw_l1_completions	0	0	0
vm_weight_segment_raw_l1_hits	0	0	0
vm_weight_segment_raw_l1_misses	0	0	0
vm_weight_segment_revoke_acks	0	0	0
vm_weight_segment_revoke_attempts	0	0	0
vm_weight_segment_revoke_replica_acks	0	0	0
vm_weight_segment_walker_suppressed	0	0	0
vm_weight_segmentation_enabled	0	0	0
